Android (Electronic resource),40
Application software -- Development,376
Smartphones -- Programming,41
Tablet computers -- Programming,8
Parallel processing (Electronic computers),1
Parallel programming (Computer science),2
Computer architecture,2
Graphics processing units,1
iOS (Electronic resource),51
iPhone (Smartphone) -- Programming,60
iPad (Computer) -- Programming,39
iPod touch (Digital music player) -- Programming,11
Mobile computing,86
Mac OS,17
Objective-C (Computer program language),7
Electronic books,31
JavaScript (Computer program language),14
Computer algorithms,1
Microsoft Office,1
Windows Azure,1
Cloud computing,3
Web services,4
Business -- Data processing,2
Microsoft Visual BASIC,6
Microsoft.net framework,5
Semantic Web,2
Internet programming,99
Python (Computer program language),3
Microsoft Windows (Computer file),5
Microsoft .NET,14
Dart (Computer program language),1
Web applications -- Development,3
Google (Firm),3
Microsoft .NET framework,3
Java (Computer program language),50
Telecommunication -- Message processing,1
Business enterprises -- Data processing,1
Microsoft Visual studio,3
C# (Computer program language),9
Document markup languages,1
Detectors,1
Cocoa (Application development environment),5
PHP (Computer program language),6
Struts framework,2
Microsoft Outlook,1
Time management -- Computer programs,1
Personal information management -- Computer programs,1
Active template library,2
COM (Computer architecture),1
Object-oriented programming (Computer science),29
Sun computers -- Programming,1
Database design,7
Web site development,30
ActiveX,4
Itanium (Microprocessor) -- Programming,1
Database management,11
Microsoft Visual Basic for applications,3
Computer games -- Programming,24
Microsoft LINQ,1
Windows presentation foundation,2
Silverlight (Electronic resource),9
Windows phone (Computer file),15
Query languages (Computer science),1
Microsoft .NET Framework,14
ColdFusion,4
Web sites -- Design,14
"Aspect-oriented programming -- Handbooks, manuals, etc",1
Swift (Computer program language),5
OpenGL,2
Computer graphics,5
Three-dimensional display systems,1
Operating systems (Computers),7
Macintosh (Computer) -- Programming,10
WebSphere,18
Web servers -- Programming,13
Xcode,6
Mobile communication systems -- Library applications,1
Library Web sites -- Design,1
Augmented reality,1
Computer programming,3
Intel microprocessors -- Programming,3
HTML (Document markup language),7
XHTML (Document markup language),1
Cascading style sheets,5
Web servers,3
"Microsoft Navision -- Handbooks, manuals, etc",1
Business logistics -- Data processing,1
Management information systems,1
BASIC (Computer program language),2
Tk toolkit,1
Tcl (Computer program language),1
Linux,1
Microprocessors,1
Smartphones,2
Microsoft Access,2
Programming languages (Electronic computers),4
C (Computer program language),3
Oracle (Computer file),7
Database security,1
Computer security,2
PL/SQL (Computer program language),3
Relational databases,5
Microsoft Transaction server,1
Microsoft Message queue server,1
"Charts, diagrams, etc. -- Computer programs",1
Computer network protocols,2
Application program interfaces (Computer software),6
JavaServer pages,2
VisualAge,1
JavaBeans,2
C++ (Computer program language),3
Google,2
Ajax (Web site development technology),4
Electronic commerce,1
Web applications 650_0 650_0 Web sites Web site development.650_0 JavaScript (Computer program language) -- Development.650_0 -- Design.650_0,1
Web applications -- Programming,1
Wearable computers -- Programming,4
Mobile apps,2
"Oracle (Computer file) -- Problems, exercises, etc",1
Mobile computing -- Programming,12
Mobile games -- Programming,1
User interfaces (Computer systems),9
JavaFX (Electronic resource),8
Graphical user interfaces (Computer systems),6
Portable computers -- Programming,4
Mobile computing -- Security measures,2
Mobile communication systems -- Security measures,1
Data libraries,1
Cross-platform software development,3
Computer software -- Development,4
iPad -- Programming,2
XPages,3
BlackBerry (Smartphone) -- Programming,6
Information retrieval -- Computer programs,2
Microsoft.NET Framework,1
iPhone OS -- Programming,2
Business -- Computer programs,2
Enterprise application integration (Computer systems),3
Social networks -- Computer programs,1
Application software -- Marketing,3
Microsoft XNA,1
CICS (Computer system),1
Teleprocessing monitors (Computer programs),1
Online social networks,2
Unity (Electronic resource),1
Oracle Application express,5
Web applications,1
Hibernate (Electronic resource),2
Open source software,4
iPod (Digital music player) -- Programming,1
Flash (Computer file),10
Computer animation,7
iPhone (Smartphone) -- Mobile apps,2
Tablet computers,3
Browsers (Computer programs),1
Facebook (Electronic resource),1
Internet games -- Design,1
LotusScript (Computer program language),1
Computer multitasking,1
Memory management (Computer science),1
Agile software development,2
Microcontrollers -- Programming,1
Programmable controllers,1
Electronics -- Data processing,1
Câ™¯ (Computer program language),4
Multimedia systems,10
Digital video,1
Mobile games -- Development,1
Active server pages,3
Mobile games,1
Canvas (Computer file),1
Cryptography,1
WordPress (Electronic resource),1
Joomla! (Computer file),1
Drupal (Computer file),1
Mobile computing systems,1
Pocket computers,1
Flex (Computer file),16
Web site development -- Computer programs,15
Interactive multimedia,1
iPhone OS,2
iPhone (Smartphone),1
iPad (Computer),2
Google Apps,1
Google Web toolkit,1
Electronic data processing -- Distributed processing,1
BEA WebLogic server,1
Twitter,1
iPhone (Smartphone) -- Programming -- Awards,1
Mobile computing -- Awards,1
Computer software developers -- Awards,1
Developer's library,1
Ruby (Computer program language),2
Grails (Electronic resource),1
Groovy (Computer program language),1
SAS/AF,1
Ruby on rails (Electronic resource),1
Web 2.0.,1
Computer software -- Testing,1
IBM computers -- Programming,7
i5/OS,2
Computer systems,3
CodeIgniter (Computer file),2
Textbooks,1
Client/server computing,2
RTF (Document markup language),1
Apache (Computer file : Apache Group),1
Web sites -- Authoring programs,1
Visual programming (Computer science),2
Digital mapping,1
IBM AS/400 (Computer) -- Programming,3
UML (Computer science),1
Web servers -- Computer programs,2
Software patterns,2
Electronic commerce -- Computer programs,3
Dreamweaver (Computer file),1
"Web servers -- Computer programs -- Handbooks, manuals, etc",1
"Electronic commerce -- Computer programs -- Handbooks, manuals, etc",1
XML (Document markup language),2
Wireless communication systems,2
Electronic commerce -- Software,1
RPG (Computer program language),1
Computer network architectures,1
Mobile communication systems,1
Java (Computer program language) -- Examinations -- Study guides,1
Software architecture,1
IBM software,1
Wearable computers,1
Graphical user interfaces (Computer systems) -- Design,1
PhoneGap (Application development environment),1
Mobile computing -- Computer programs,1
Servlets,1
Business intelligence -- Data processing,1
